lag_from_prediction_day,mean_attention_weight
59,0.01744327
58,0.017130155
57,0.016961664
56,0.016860412
55,0.016796576
54,0.016753847
53,0.016724462
52,0.016702682
51,0.016687363
50,0.016675202
49,0.016665976
48,0.016658785
47,0.01665285
46,0.016647745
45,0.016643863
44,0.01664061
43,0.016637273
42,0.016635217
41,0.0166335
40,0.016630514
39,0.016628506
38,0.016627586
37,0.01662605
36,0.016624993
35,0.016625151
34,0.016625062
33,0.016625144
32,0.016625455
31,0.016624833
30,0.016624369
29,0.016624607
28,0.016624551
27,0.016624028
26,0.016622983
25,0.016621834
24,0.016620228
23,0.01661937
22,0.016616846
21,0.016615413
20,0.016613431
19,0.016611364
18,0.016610915
17,0.016608642
16,0.01660705
15,0.016604962
14,0.016602369
13,0.016599232
12,0.016594749
11,0.016590156
10,0.01658515
9,0.016579246
8,0.016572818
7,0.016567932
6,0.016564062
5,0.016564097
4,0.01656937
3,0.016587147
2,0.016629463
1,0.016729273
0,0.016979672
