number,value,params_batch_size,params_clip_norm,params_dropout,params_hidden_size,params_lookback,params_lr,params_weight_decay,user_attrs_best_epoch,state
0,0.012841829759497657,32,0.817211813031214,0.009263022433111102,24,20,0.0044447541666908135,0.01199997548035081,6,COMPLETE
1,0.011857637158189311,32,1.9131054133306664,0.23140549728612522,32,45,0.0010150667045928574,1.4853153980421619e-05,7,COMPLETE
2,0.012138858212170943,64,1.9482938671997496,0.11645099172000761,48,10,0.0013353819088790589,0.0001422361277374357,5,COMPLETE
3,0.011725498283009674,64,1.6637348672818675,0.12210706429825316,48,20,0.0025585868855934266,0.00020874681332882274,9,COMPLETE
4,0.012307748148995577,32,0.8286699469166257,0.16130957784492267,8,20,0.0001573468512939367,0.015580940996926486,1,COMPLETE
5,0.012088622757007311,64,1.3818976991484266,0.22220801836397583,48,45,0.0007728716861851782,0.0003814708899459648,3,COMPLETE
6,0.01192719378838416,32,1.8173502974329623,0.4183639435541579,8,30,0.0023603276001278087,0.002202629725677973,28,COMPLETE
7,0.012084244456389448,128,0.8494449844352838,0.2298362861599046,32,30,0.0005118807219845018,6.630864123680923e-05,9,COMPLETE
8,0.012261304011664977,64,0.5463212825550793,0.2743039502909536,16,45,0.0007145565133513971,1.5503093158719105e-05,1,COMPLETE
9,0.012134870988478043,32,1.304518003420011,0.24109860783364132,16,20,0.0001423638128723575,0.012295859039233612,25,COMPLETE
10,0.012093968117380192,128,0.3265111594193757,0.4362916998545395,48,60,0.000300749066754754,0.0012364764708160537,10,COMPLETE
11,0.012220336100663799,64,1.6089151322003794,0.06831163057975148,32,45,0.0020940753898910443,1.0558380806839137e-05,9,COMPLETE
12,0.012221492307920518,32,1.6252802753258175,0.34793544639906565,32,10,0.004963750022792163,4.958323760998399e-05,25,COMPLETE
13,0.012977628130380718,64,1.9932281039706399,0.1482607036917873,24,60,0.001553295978077088,0.00036660436382357785,43,COMPLETE
14,0.011818493607483268,128,1.3705678392726854,0.3131826624901928,32,20,0.002828897010267718,3.7732873539796715e-05,36,COMPLETE
15,0.012033063906435607,128,1.2029108515974827,0.32361539105899473,48,20,0.003003983708537167,6.003052516554502e-05,51,COMPLETE
16,0.012565685172413936,128,1.5238820616456419,0.36921251393401133,48,20,0.0033416388921580736,0.00036153152822887216,18,COMPLETE
17,0.011796594026871568,128,1.112285051778381,0.0750535943779774,32,20,0.0019634492159494882,0.0016502103902977891,11,COMPLETE
18,0.011530998217660998,128,1.0075762331461322,0.002362790819753588,8,20,0.0017976606856455306,0.0026962537938435564,14,COMPLETE
19,0.011926526395829166,64,1.0353791066483782,0.008564834648313684,8,20,0.0013169472723396087,0.005050524840917551,5,COMPLETE
20,0.012188003730985731,128,0.6081942773658419,0.05581861236918343,8,10,0.0004099993204480418,0.03142795509036048,14,COMPLETE
21,0.012108912117825023,128,1.0159184997855613,0.0764353175003884,8,20,0.001841304677019113,0.0015907862794743745,7,COMPLETE
22,0.012341086893137294,128,1.121809192571869,0.10900301100011318,16,20,0.0009603980545013316,0.0008011169386673192,1,COMPLETE
23,0.01264102842955281,128,0.9247671256540007,0.03381654231381291,24,20,0.0018645823950437497,0.004486436474176738,24,COMPLETE
24,0.011586245435326922,128,1.7460491254902128,0.1633057705681162,8,30,0.0035525380434529544,0.0038790892605276134,4,COMPLETE
