feature,importance
brent_vol20,0.041762702
OVX_lag2,0.038621467
OVX_ema20,0.03793407
ovx_mean_revert,0.035932373
Brent_clean_ema5,0.03477584
Brent_clean_ema10,0.034194503
OVX_lag1,0.033175003
Brent_clean_lag2,0.032558203
gprd_momentum,0.031981282
Brent_clean_ema20,0.028878203
Brent_clean_lag5,0.028347477
OVX_lag3,0.028327229
GPRD_THREAT_lag4,0.028196119
Brent_clean_lag1,0.027916774
day_of_week,0.027539948
OVX_ema10,0.026950967
OVX_lag4,0.025142636
GPRD_THREAT_lag3,0.025062643
gprd_zscore,0.024672166
ovx_gprd_interact,0.023900185
GPRD_lag5,0.021952316
ovx_gprd_threat_interact,0.021722
GPRD_THREAT_ema10,0.021721028
GPRD_THREAT_ema20,0.021309234
Brent_clean_lag3,0.021149557
brent_vol5,0.020551065
Brent_clean_lag4,0.018782932
OVX_lag5,0.018419048
regime_gprd_interact,0.01789812
vol_ratio,0.017835204
GPRD_ema20,0.017652024
ovx_zscore,0.017123569
gprd_threat_zscore,0.017048614
OVX_ema5,0.015317064
GPRD_lag1,0.014536262
GPRD_THREAT_lag1,0.013953022
GPRD_THREAT_lag5,0.013923172
gpr_threat_ratio,0.0134040555
GPRD_lag2,0.012919968
GPRD_THREAT_lag2,0.011776336
GPRD_lag3,0.011443152
GPRD_ema5,0.009905827
GPRD_THREAT_ema5,0.007700387
month,0.006086253
GPRD_ema10,0.0
GPRD_lag4,0.0
ovx_high_regime,0.0
ovx_spike,0.0
gprd_spike,0.0
spike_ovx_interact,0.0
is_month_end,0.0
is_month_start,0.0
