number,value,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
0,0.024946515137363515,0.5357969861849115,0.11616722433639892,0.06978211022792681,4,6.009974718380312,1093,0.531434303862503,4.065473348912502,0.5358102522433401,54,COMPLETE
1,0.024950642048804705,0.5500037319639054,0.36680901970686763,0.005293661964364217,5,12.10689693600216,1843,0.002034955951308028,2.7729872943448677,0.5667865108730519,58,COMPLETE
2,0.024950020621286446,0.6514990138115304,0.9121399684340719,0.011211012365328633,4,1.5187479226722465,1222,0.23826780381970353,0.5439241824988184,0.61067955669437,151,COMPLETE
3,0.024952348681019657,0.4857783761419038,1.8977710745066665,0.02584093506411774,1,6.172115948107071,1407,1.4230243744913733,11.486200653557574,0.5437882680280104,0,COMPLETE
4,0.024951613702286574,0.7223473005611987,0.06877704223043679,0.006555094372947843,4,3.738105868191796,935,0.8147311571220186,0.7314065607191533,0.5171210291646284,44,COMPLETE
5,0.024952276399831226,0.9832715452705072,1.550265646722229,0.0118660873193719,3,5.143828405076927,1741,1.0985330528057922,17.71152560416059,0.5516699505390399,9,COMPLETE
6,0.024926166083010844,0.6289316819197954,0.777354579378964,0.06441947664628758,1,1.7987863473362906,1595,0.0014691979880907817,12.71857470912015,0.4748750089007959,44,COMPLETE
7,0.024952348681019657,0.49100285402387395,1.9737738732010346,0.010895542554925704,3,1.5252697030515172,1053,0.20962733672452427,0.5413192273881824,0.8912083394147219,0,COMPLETE
8,0.024945520481266626,0.49072455845374974,0.7169314570885452,0.047960467239636484,4,8.880965698768717,262,0.0003150331825541257,15.108516262223688,0.8741986906772702,118,COMPLETE
9,0.024951364072654594,0.8512833980859353,1.2751149427104262,0.012514425818316965,1,2.5386178456500557,1653,0.6545285853960306,2.131143857722605,0.6288508271147109,55,COMPLETE
10,0.024948326456765195,0.7789964760449013,0.8455026500389488,0.032068492802762444,2,16.328176997790177,2416,0.013385399758386015,0.29803745301367734,0.7610871998747718,47,COMPLETE
11,0.02494864055881861,0.6248896431435779,0.6739562662195627,0.07825346713042806,2,1.101029825220375,267,0.00011827891369517633,29.759303399700666,0.9865031829908694,85,COMPLETE
12,0.024947478208328076,0.6223671099210495,0.5721230046239236,0.043502197988530666,5,10.688114437231988,290,0.0003962436416074808,7.312575382365697,0.7503967119935278,17,COMPLETE
13,0.024933837231856916,0.4640522221457989,1.1391202091396355,0.04537639675432432,2,2.538865640141693,648,0.0024531720607863625,8.156897514643902,0.4563294277444785,44,COMPLETE
14,0.024940610047227547,0.7344893082868766,1.1712154858700907,0.02382994670349342,2,2.5574846316542144,654,0.005252051617785277,6.83936305998524,0.46583779921281787,44,COMPLETE
15,0.024931868575748722,0.5777747217182533,1.1996173181138323,0.05146566196845249,1,2.601317106602678,2266,0.02951751131417317,1.707291509712763,0.4545482907083186,44,COMPLETE
16,0.024930333825851192,0.5851521772508458,1.468621513998998,0.0600803719603205,1,1.5896478134517444,2343,0.04715328900577835,1.38502280147881,0.4515991975537312,44,COMPLETE
17,0.0249417903195946,0.6853720198754156,1.6068721085524662,0.0607225608468954,1,1.6108345029714886,2084,0.05211270735113967,1.122498867769954,0.6737001424427731,47,COMPLETE
18,0.024936809540548964,0.8108241089318451,1.5795571546197036,0.0347404501736418,1,1.001305559912124,2497,0.062328242896645326,0.25338696965933233,0.4998521347034719,50,COMPLETE
19,0.024946204479340536,0.8961186412146731,0.3954559089357972,0.017772980495901012,2,1.922961826024518,2045,0.0013416274390132253,4.685492200489832,0.6165706062631876,151,COMPLETE
20,0.02494142963221308,0.5920973611915441,1.3961932800108021,0.07905455183771999,1,1.2286326530957792,1503,0.013742996443772568,29.088584823720637,0.682907571679734,47,COMPLETE
21,0.024931206475707873,0.5706865363767045,1.0094285521904036,0.05766732538332882,1,3.5911575880322997,2228,0.04473728882343832,1.5714053516079933,0.4501344646721328,44,COMPLETE
22,0.02493119785748486,0.5419140577825418,1.0117169593017805,0.06386453174388163,1,3.5765221478004507,2040,0.13581654213732228,1.218499603623355,0.4947507749230129,44,COMPLETE
23,0.02493815690756616,0.6701139917436985,0.9732018136399455,0.03749284124393418,1,3.674140181453703,1966,0.15424788635295872,1.0497803088173314,0.5025102396067261,57,COMPLETE
24,0.02494034669232599,0.5216053468533266,1.766744278222078,0.06380346518648708,2,2.008962285505521,2312,0.017442695083850015,2.8050346694062775,0.5803492522384468,17,COMPLETE
25,0.024931528057198647,0.611900016862886,1.37408213095813,0.053870477191837095,1,2.0224105964159063,1873,0.006375841322387901,0.4276632775889637,0.5040414605192813,44,COMPLETE
26,0.024937653491254173,0.6915061079212359,0.7639041773276187,0.03852083181606364,3,4.543610754076191,1518,0.13407718763880808,0.9890488411609493,0.4962864563993507,57,COMPLETE
27,0.024948822415963468,0.5301942777177616,1.053466211621708,0.027723963081683407,2,3.036438334249783,2133,0.38323685034354715,4.239780847123109,0.5700443731103888,57,COMPLETE
28,0.024928711260584373,0.6497028262382879,0.4673227140857116,0.06564414713300204,1,1.2401370259537237,1690,0.0006760555070102804,1.3904550309361055,0.4842747529651666,44,COMPLETE
29,0.02493229273028751,0.7323255159326622,0.20672832559569398,0.07122481508081835,2,1.330534789362413,1236,0.000755071969314578,2.8966347866456688,0.5468786130683304,17,COMPLETE
30,0.024934948752388306,0.6547875053548184,0.5115716153725851,0.04359854234600906,1,1.3197246144137615,1610,0.0001376523307257857,5.207619901627978,0.4850548640517267,44,COMPLETE
31,0.024934506789654837,0.5444352265527683,0.28957024089618183,0.06600606206621897,1,1.7518028090798545,1805,0.0006946717348365099,1.5755240438675278,0.528244916203043,17,COMPLETE
32,0.024942645236194216,0.5918014835905447,0.5294323064896077,0.05520322125971867,1,6.795115498114226,1938,0.08949113671491403,0.7599698776865625,0.5900770960948188,44,COMPLETE
33,0.024926546586344026,0.6355013644755937,0.8649975514862488,0.06549836430077316,1,2.2303097529241147,1351,0.0044256743003921635,2.107153942012986,0.47862501358342835,44,COMPLETE
34,0.024931532544498515,0.6263009227806338,0.38450234858679355,0.0785142622344941,1,2.1322502777178363,1267,0.0039034791732491542,2.2512027275782778,0.5294267346691652,17,COMPLETE
35,0.024929602149435993,0.7126071784263597,0.8292776651286426,0.05141398176419456,1,1.443717721612761,1388,0.0015467298485438126,0.7914151190097245,0.48011387621457025,44,COMPLETE
36,0.024943362422128187,0.6928168988235822,0.8353227470054936,0.029601889149855693,2,1.23384155277361,1458,0.0017346635561437179,0.43807476892607716,0.5455271426166601,44,COMPLETE
37,0.024824861557191255,0.7580331086389218,0.008138464837826542,0.03964180408715955,1,1.3744713943722133,1384,0.0010266105292661995,0.7078776380106078,0.6385764854557655,116,COMPLETE
38,0.0249442420156855,0.776530270119,0.065640592306207,0.0418241170568845,2,1.135448984640662,1035,0.00023877701700632332,0.20147659833309178,0.6599257126381668,47,COMPLETE
39,0.024949876862789738,0.7738895204822593,0.1787071755687235,0.017561672792842355,1,2.1925013375218017,1698,0.0007497463096422185,12.029541110617542,0.7581392656873231,47,COMPLETE
40,0.024947827294120394,0.8399092779904815,0.0029000235855070056,0.00834853632678,3,1.759623083523569,847,0.0029043382112132247,3.486381823756168,0.7293064308526406,19,COMPLETE
41,0.024941562460033047,0.7136968549394883,0.635039942565816,0.049037956725204425,1,1.4239650057173128,1299,0.0013165499812723019,0.7183030479670072,0.5926632491574361,44,COMPLETE
42,0.024943406150642274,0.6486970675724946,0.8380296588039264,0.06981508951051255,1,1.4685402461644552,1371,0.007043044577633387,0.8104785257089645,0.8025420909930396,44,COMPLETE
43,0.024930337600761004,0.7571543119121369,0.7167095976402379,0.05151718549870232,1,1.022810764340274,1574,0.00046791366833358095,0.62707492194936,0.47872905775480645,44,COMPLETE
