feature,importance
Brent_clean_lag1,0.0
Brent_clean_lag2,0.0
Brent_clean_lag3,0.0
Brent_clean_lag4,0.0
Brent_clean_lag5,0.0
Brent_clean_ema5,0.0
Brent_clean_ema10,0.0
Brent_clean_ema20,0.0
GPRD_lag1,0.0
GPRD_lag2,0.0
GPRD_lag3,0.0
GPRD_lag4,0.0
GPRD_lag5,0.0
GPRD_ema5,0.0
GPRD_ema10,0.0
GPRD_ema20,0.0
GPRD_THREAT_lag1,0.0
GPRD_THREAT_lag2,0.0
GPRD_THREAT_lag3,0.0
GPRD_THREAT_lag4,0.0
GPRD_THREAT_lag5,0.0
GPRD_THREAT_ema5,0.0
GPRD_THREAT_ema10,0.0
GPRD_THREAT_ema20,0.0
OVX_lag1,0.0
OVX_lag2,0.0
OVX_lag3,0.0
OVX_lag4,0.0
OVX_lag5,0.0
OVX_ema5,0.0
OVX_ema10,0.0
OVX_ema20,0.0
brent_vol5,0.0
brent_vol20,0.0
vol_ratio,0.0
ovx_zscore,0.0
ovx_spike,0.0
ovx_high_regime,0.0
ovx_mean_revert,0.0
gpr_threat_ratio,0.0
gprd_zscore,0.0
gprd_spike,0.0
gprd_momentum,0.0
gprd_threat_zscore,0.0
ovx_gprd_interact,0.0
ovx_gprd_threat_interact,0.0
regime_gprd_interact,0.0
spike_ovx_interact,0.0
day_of_week,0.0
month,0.0
is_month_end,0.0
is_month_start,0.0
