feature,importance
OVX_lag1,0.09669936
Brent_clean_lag3,0.09068108
OVX_lag2,0.08288534
Brent_clean_lag1,0.053483207
OVX_ema5,0.051482245
OVX_lag3,0.04926531
GPRD_THREAT_lag5,0.035966974
month,0.03553831
OVX_ema10,0.02998189
GPRD_THREAT_ema20,0.029033503
Brent_clean_lag2,0.028870333
OVX_lag4,0.026323803
Brent_clean_lag5,0.025104523
brent_vol5,0.022771463
vol_ratio,0.021920323
gpr_threat_ratio,0.021110447
OVX_ema20,0.020971524
ovx_zscore,0.019614613
GPRD_THREAT_ema10,0.0179751
Brent_clean_ema10,0.016783224
brent_vol20,0.016049907
GPRD_THREAT_ema5,0.015975947
ovx_spike,0.01495923
Brent_clean_lag4,0.01443777
GPRD_lag1,0.014338446
regime_gprd_interact,0.013409183
GPRD_ema5,0.012971026
ovx_gprd_threat_interact,0.012175446
GPRD_ema20,0.011754946
gprd_momentum,0.011566117
OVX_lag5,0.011275894
Brent_clean_ema20,0.011204793
GPRD_THREAT_lag4,0.0111819
ovx_gprd_interact,0.010489149
gprd_threat_zscore,0.009641458
Brent_clean_ema5,0.008601712
GPRD_lag3,0.008294287
GPRD_ema10,0.0076476787
ovx_high_regime,0.007562591
GPRD_THREAT_lag2,0.0
GPRD_lag2,0.0
GPRD_lag4,0.0
GPRD_THREAT_lag1,0.0
GPRD_lag5,0.0
GPRD_THREAT_lag3,0.0
gprd_zscore,0.0
ovx_mean_revert,0.0
gprd_spike,0.0
spike_ovx_interact,0.0
day_of_week,0.0
is_month_end,0.0
is_month_start,0.0
